Machine_ID,Machine_Type,Installation_Year,Operational_Hours,Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,Last_Maintenance_Days_Ago,Maintenance_History_Count,Failure_History_Count,AI_Supervision,Error_Codes_Last_30_Days,AI_Override_Events,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,Failure_Within_7_Days,Remaining_Useful_Life_days,Machine_Age_Years,Maintenance_Efficiency,Hours_Per_Year,High_Temperature_Risk,High_Vibration_Risk,Low_Oil_Risk,Overdue_Maintenance,High_Error_Rate,Total_Risk_Score,Machine_Type_encoded,AI_Supervision_encoded
M_00001,CNC_Mill,2022,4417.121318105916,65.23944534548023,0.3227968955461763,74.45760377220586,90.24777021335134,100.0,16.51794783299025,26.674299662050608,2.0,1,Yes,4,0,74.86593302876713,198.4176615294203,25.114215136548207,0.5381667897482988,0,9,2,1.0,1472.3737727019718,0,0,0,0,0,0,6,1
M_00002,Pick_and_Place,2012,6980.166327987378,69.79663212587069,0.8191184521537423,71.8197121677769,56.01517934067165,93.0734298469592,11.941163572300654,35.997420321530896,3.0,1,Yes,6,1,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,82,12,1.5,536.9358713836444,0,0,1,0,1,2,23,1
M_00003,Crane,2022,6362.684851309511,78.18975937233145,0.4815232339897065,62.40363528372575,57.24931202254636,48.771566709482165,31.09597884091109,28.122722185339452,5.0,3,Yes,2,1,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,24,2,1.25,2120.8949504365037,1,0,1,0,0,2,10,1
M_00004,Vacuum_Packer,2020,714.1108766136949,55.40627398821127,0.0874840047069335,57.64792063595933,71.5871788655995,70.09142390774753,18.97393926086283,6.429493760548228,7.0,2,Yes,3,1,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,19,4,2.3333333333333335,142.82217532273899,0,0,0,0,0,0,29,1
M_00005,Shrink_Wrapper,2019,8805.817932397928,62.67905056693024,2.687814445661418,67.25054523144946,74.77662292739464,76.10759063638665,16.474147514796734,0.7239426277243337,7.0,4,Yes,2,2,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,29,5,1.4,1467.6363220663213,0,0,0,0,0,0,27,1
M_00006,Vision_System,2015,4423.366260519696,90.14101889704853,1.1184902482596415,58.104229540329534,90.75253363778732,74.54769460531753,18.67469418126144,28.132994842503688,4.0,5,Yes,1,3,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,39,9,0.6666666666666666,442.3366260519696,1,0,0,0,0,1,31,1
M_00007,Grinder,2014,8444.726372103652,70.67364396167122,0.6476497536433663,70.98552554654623,79.45676372629299,54.30889602947455,20.98800873943709,7.471602203994063,8.0,1,Yes,4,0,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,60,10,4.0,767.7023974639684,0,0,0,0,0,0,14,1
M_00008,Grinder,2013,6432.102270526128,48.57534499402375,0.7349735294599361,76.19733762268038,83.95896922407213,92.29340176529873,9.238150821356438,52.741084076926526,6.0,2,Yes,6,0,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,32,11,2.0,536.008522543844,0,0,0,0,1,1,14,1
M_00009,XRay_Inspector,2017,5496.459870154869,52.15462023367501,0.2900896108460647,52.45741643601837,78.0366022005298,85.43772506089816,4.790788614248599,82.17998598519074,4.0,3,No,1,0,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,67,7,1.0,687.0574837693587,0,0,0,1,0,1,32,0
M_00010,XRay_Inspector,2011,4811.674812799632,78.37899302041374,3.5061620379482643,61.5986365211389,47.153464325162815,70.13539732645518,45.67518797514791,54.70216104638661,6.0,5,No,2,1,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,110,13,1.0,343.69105805711655,1,1,1,0,0,3,32,0
M_00011,Automated_Screwdriver,2021,10353.62354763997,48.05788771499057,0.3107933785063224,86.0744277159772,43.43869121435838,71.33168840930745,18.748566167138044,5.607987094816721,0.0,2,Yes,4,2,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,74,3,0.0,2588.4058869099927,0,0,1,0,0,1,2,1
M_00012,Valve_Controller,2023,4456.700895186349,57.90514864206062,0.8259352254824509,76.10390391608001,31.69678586675758,80.53899818255564,21.35010412828569,51.18911696038487,5.0,1,Yes,4,0,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,54,1,2.5,2228.3504475931745,0,0,1,0,0,1,30,1
M_00013,AGV,2020,3657.337793070703,68.04953295113454,0.0148307205771496,55.8216006736768,50.64253204859101,92.74929812493237,31.53055240058113,5.899306887794353,7.0,2,Yes,4,0,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,80,4,2.3333333333333335,731.4675586141406,0,0,1,0,0,1,1,1
M_00014,XRay_Inspector,2016,3837.3819457653058,65.20432259904057,1.1468619147569932,65.0888712092994,68.49887122010693,86.08461720002518,12.720482189985884,10.621507865398398,2.0,1,No,2,0,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,69,8,1.0,426.37577175170065,0,0,0,0,0,0,32,0
M_00015,Industrial_Chiller,2013,5002.118335923644,87.2482638965439,0.8763916316219323,51.908880676191885,80.33002879466244,70.25785628658869,11.649770201754418,52.84730097128404,3.0,2,No,3,2,74.86593302876713,198.4176615294203,10.696450600836474,0.5381667897482988,0,15,11,1.0,416.84319466030365,1,0,0,0,0,1,17,0
M_00016,AGV,2011,4998.627506451036,28.240738914588466,2.5395273793631272,81.43895064471319,26.161493274311223,76.16611236747495,24.096338746176087,4.70875309541738,3.0,1,Yes,6,0,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,1,4,13,1.5,357.04482188935975,0,0,1,0,1,2,1,1
M_00017,Vacuum_Packer,2016,7008.047944672877,72.22920758797704,2.512734333877202,69.84371201870634,58.19290039959507,88.08925364734637,23.825236859113165,6.241399372775683,3.0,3,No,4,1,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,18,8,0.75,778.6719938525418,0,0,1,0,0,1,29,0
M_00018,Heat_Exchanger,2022,6516.498068423926,60.7612568144482,0.0787944199036188,71.31043130512863,63.852852628115215,84.30912658985928,17.636034620851547,55.948342408189255,8.0,0,Yes,2,0,74.86593302876713,198.4176615294203,28.794966850220405,0.6258953252061137,0,209,2,8.0,2172.1660228079754,0,0,0,0,0,0,15,1
M_00019,Labeler,2010,6518.981372908014,84.7551231260666,0.2462885864456555,81.92814360845196,63.96360945081352,62.82004242042788,21.16135276744633,90.11039975401437,2.0,0,No,6,0,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,78,14,2.0,434.59875819386764,1,0,0,1,1,3,19,0
M_00020,Valve_Controller,2013,4543.524013696737,61.46559317704913,4.699898687847558,67.69807733959804,64.15286711610558,66.74731608693578,26.801051944908597,30.30619197237997,3.0,5,No,2,1,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,22,11,0.5,378.6270011413947,0,1,0,0,0,1,30,0
M_00021,Laser_Cutter,2018,6353.044216022491,61.90026106859966,3.138496210927395,72.73993327597623,46.48868345021258,94.92664859506844,6.7912662196906455,28.81932790138117,7.0,1,Yes,2,2,58.41820383139212,198.4176615294203,28.794966850220405,0.5381667897482988,0,8,6,3.5,907.5777451460701,0,1,1,0,0,2,20,1
M_00022,Injection_Molder,2023,6562.593285363425,64.93885120572702,0.9869044783897144,80.88764697519956,69.78133079756324,94.05380131671016,16.1837521140187,23.333292454966983,7.0,1,Yes,3,2,74.86593302876713,223.66189574569023,28.794966850220405,0.5381667897482988,0,16,1,3.5,3281.2966426817125,0,0,0,0,0,0,18,1
M_00023,CNC_Lathe,2013,4841.347763029688,55.08289021315789,0.3639419974768441,61.82459715698754,56.20065830262638,87.93433765868176,19.08017159985786,8.413788636160625,4.0,1,Yes,5,1,74.86593302876713,198.4176615294203,15.36772693371262,0.5381667897482988,0,162,11,2.0,403.4456469191407,0,0,1,0,1,2,5,1
M_00024,Press_Brake,2021,5558.400297445516,56.13630991986578,0.6043228870668429,57.52990959064627,99.8558044450146,90.63456454360498,6.180328399516009,1.15576140937752,7.0,1,No,3,0,74.86593302876713,198.4176615294203,28.794966850220405,0.5381667897482988,0,247,3,3.5,1389.600074361379,0,0,0,0,0,0,24,0
